,file,area,area_coor,counts
0,avon-and-somerset-street.csv,South Somerset,"50.94281187864078,-2.6979729902912624",204
1,avon-and-somerset-street.csv,Mendip,"51.194164146496796,-2.5271653694267515",155
2,avon-and-somerset-street.csv,Bristol,"51.45779019554877,-2.590001824114093",4612
3,avon-and-somerset-street.csv,Sedgemoor,"51.15245149180329,-2.9908219836065593",403
4,avon-and-somerset-street.csv,West Somerset,"51.19192520454545,-3.439578045454546",44
5,avon-and-somerset-street.csv,South Gloucestershire,"51.50685895869841,-2.5251774468085117",717
6,avon-and-somerset-street.csv,Taunton Deane,"51.016467875575984,-3.1041380046082896",639
7,avon-and-somerset-street.csv,North Somerset,"51.37347684353754,-2.899802221088435",542
8,avon-and-somerset-street.csv,Bath and North East Somerset,"51.379077884476594,-2.3779586624548754",529
9,bedfordshire-street.csv,Central Bedfordshire,"51.948808214856356,-0.48078986182108785",1031
10,bedfordshire-street.csv,Luton,"51.8920794427083,-0.4298186197916658",800
11,bedfordshire-street.csv,Bedford,"52.1355760061957,-0.46440039776951814",1441
12,cambridgeshire-street.csv,East Cambridgeshire,"52.386398628140704,0.28242930653266385",154
13,cambridgeshire-street.csv,Fenland,"52.61576640481401,0.11137996717724301",447
14,cambridgeshire-street.csv,Cambridge,"52.20338944563708,0.12861390818792018",7444
15,cambridgeshire-street.csv,Huntingdonshire,"52.30885160465115,-0.18869259911406414",827
16,cambridgeshire-street.csv,Peterborough,"52.576000295635005,-0.25079348412698405",2418
17,cambridgeshire-street.csv,South Cambridgeshire,"52.22222723835626,0.10341841506849322",651
18,cheshire-street.csv,Warrington,"53.39697119738869,-2.587171649001542",1263
19,cheshire-street.csv,Halton,"53.355621736040696,-2.725353345177669",386
20,cheshire-street.csv,Cheshire East,"53.17006787234049,-2.344641073581558",1036
21,cheshire-street.csv,Cheshire West and Chester,"53.22668072727277,-2.8246711055194793",1186
22,city-of-london-street.csv,City of London,"51.51563719314632,-0.0909854914330218",1103
23,cleveland-street.csv,Redcar and Cleveland,"54.58585006164383,-1.082942077625571",436
24,cleveland-street.csv,Hartlepool,"54.68356907428577,-1.2217694609523806",520
25,cleveland-street.csv,Middlesbrough,"54.56241277864587,-1.229495802083332",1146
26,cleveland-street.csv,Stockton-on-Tees,"54.56814648617506,-1.3139883479262664",862
27,cumbria-street.csv,Copeland,"54.51935594827587,-3.5419418965517235",58
28,cumbria-street.csv,Allerdale,"54.69249824786323,-3.42252165811966",116
29,cumbria-street.csv,Eden,"54.6152057631579,-2.6741509736842106",38
30,cumbria-street.csv,Carlisle,"54.89058325824175,-2.931458505494503",363
31,cumbria-street.csv,Barrow-in-Furness,"54.11806516993464,-3.2215661045751625",153
32,cumbria-street.csv,South Lakeland,"54.309699974522296,-2.8410687133757944",155
33,derbyshire-street.csv,Amber Valley,"53.04378457983195,-1.3954975042016813",117
34,derbyshire-street.csv,Derby,"52.91577901573908,-1.4729510865654873",1735
35,derbyshire-street.csv,Derbyshire Dales,"53.178479878048776,-1.6444276585365856",38
36,derbyshire-street.csv,High Peak,"53.34690066000003,-1.9256272500000013",98
37,derbyshire-street.csv,South Derbyshire,"52.81538693333334,-1.5222281444444445",88
38,derbyshire-street.csv,Bolsover,"53.20454808749999,-1.2642070624999997",80
39,derbyshire-street.csv,Chesterfield,"53.245161060773455,-1.420419917127073",167
40,derbyshire-street.csv,Erewash,"52.91712955726877,-1.292603830396476",423
41,derbyshire-street.csv,North East Derbyshire,"53.220364980000014,-1.4009550200000005",50
42,devon-and-cornwall-street.csv,South Hams,"50.40509422448979,-3.7239493673469397",43
43,devon-and-cornwall-street.csv,Torridge,"51.00299631034483,-4.207546517241379",29
44,devon-and-cornwall-street.csv,North Devon,"51.08726597487439,-4.067911115577893",182
45,devon-and-cornwall-street.csv,Exeter,"50.72383976696546,-3.522793057618445",769
46,devon-and-cornwall-street.csv,Torbay,"50.45583039890709,-3.5456414371584706",181
47,devon-and-cornwall-street.csv,Plymouth,"50.38079343960393,-4.141597344554456",498
48,devon-and-cornwall-street.csv,Isles of Scilly,"49.9151855625,-6.309821875",16
49,devon-and-cornwall-street.csv,Cornwall,"50.31067726183846,-5.018722300835654",353
50,devon-and-cornwall-street.csv,East Devon,"50.672422050691246,-3.3310559308755767",202
51,devon-and-cornwall-street.csv,Mid Devon,"50.873897499999984,-3.496642481481483",53
52,devon-and-cornwall-street.csv,Teignbridge,"50.55469526050424,-3.580533226890756",111
53,devon-and-cornwall-street.csv,West Devon,"50.63192366666667,-4.097098916666668",12
54,dorset-street.csv,North Dorset,"50.93494406666667,-2.2226192666666664",45
55,dorset-street.csv,Weymouth and Portland,"50.611978812297714,-2.4570786699029146",290
56,dorset-street.csv,Bournemouth,"50.731002191308754,-1.859603344155842",1954
57,dorset-street.csv,Poole,"50.72587756539508,-1.965881111716624",694
58,dorset-street.csv,Purbeck,"50.691409771739124,-2.102990282608696",78
59,dorset-street.csv,East Dorset,"50.818082439393926,-1.9090177954545462",128
60,dorset-street.csv,West Dorset,"50.73187334636872,-2.5287784860335196",174
61,dorset-street.csv,Christchurch,"50.73837561858972,-1.7722502019230786",258
62,durham-street.csv,Darlington,"54.52863509392261,-1.5478820184162052",528
63,durham-street.csv,County Durham,"54.750050356205946,-1.5695123521695256",988
64,dyfed-powys-street.csv,Pembrokeshire,"51.74254655339807,-4.938594427184469",100
65,dyfed-powys-street.csv,Carmarthenshire,"51.72311442079206,-4.167105202970299",199
66,dyfed-powys-street.csv,Powys,"52.32171458015268,-3.3576858854961813",128
67,dyfed-powys-street.csv,Ceredigion,"52.35009070588236,-4.154819376470588",80
68,essex-street.csv,Thurrock,"51.48700708199354,0.3191790128617363",549
69,essex-street.csv,Harlow,"51.76944923368743,0.10083868285280705",584
70,essex-street.csv,Rochford,"51.58716102307696,0.6683309923076924",92
71,essex-street.csv,Braintree,"51.84926931140346,0.5963752171052625",391
72,essex-street.csv,Colchester,"51.88532133000772,0.8990822893323104",1192
73,essex-street.csv,Basildon,"51.57742781617642,0.4658845294117649",599
74,essex-street.csv,Chelmsford,"51.73361984477375,0.47663731357254396",1121
75,essex-street.csv,Uttlesford,"51.95488928571428,0.2492102000000001",72
76,essex-street.csv,Maldon,"51.715900530303,0.7195483636363638",65
77,essex-street.csv,Tendring,"51.82797333333331,1.1618243544061302",487
78,essex-street.csv,Brentwood,"51.626581685714285,0.31737405714285755",238
79,essex-street.csv,Epping Forest,"51.67621149438203,0.06486446067415726",128
80,essex-street.csv,Castle Point,"51.53619740069681,0.5809513310104513",204
81,essex-street.csv,Southend-on-Sea,"51.54299501442307,0.7048095741758235",1330
82,gloucestershire-street.csv,Stroud,"51.74141049743588,-2.251174025641026",183
83,gloucestershire-street.csv,Tewkesbury,"51.93353896226416,-2.139022735849056",159
84,gloucestershire-street.csv,Cotswold,"51.753746787234036,-1.9134997021276594",91
85,gloucestershire-street.csv,Gloucester,"51.857364647683376,-2.2399897027027076",1018
86,gloucestershire-street.csv,Cheltenham,"51.89926011665093,-2.083079490122291",1022
87,gloucestershire-street.csv,Forest of Dean,"51.79854573913043,-2.5403308695652167",44
88,greater-manchester-street.csv,Bolton,"53.572057149068385,-2.436669579192547",642
89,greater-manchester-street.csv,Oldham,"53.53694791239314,-2.1193945341880354",467
90,greater-manchester-street.csv,Rochdale,"53.60093491962173,-2.1662299054373535",421
91,greater-manchester-street.csv,Bury,"53.57171018160927,-2.293596248275863",424
92,greater-manchester-street.csv,Salford,"53.492899661937074,-2.312179210980881",1617
93,greater-manchester-street.csv,Tameside,"53.47788081072023,-2.095267438860971",590
94,greater-manchester-street.csv,Trafford,"53.42596363339204,-2.330331877208489",1125
95,greater-manchester-street.csv,Manchester,"53.46129622200777,-2.2329128226196078",6095
96,greater-manchester-street.csv,Wigan,"53.527730265850934,-2.595292454949947",894
97,greater-manchester-street.csv,Stockport,"53.40080770040485,-2.165845451417001",946
98,gwent-street.csv,Monmouthshire,"51.71314000925926,-2.839681305555555",95
99,gwent-street.csv,Newport,"51.585100630990475,-2.9909134281150163",618
100,gwent-street.csv,Caerphilly,"51.638547262295056,-3.205656644808744",183
101,gwent-street.csv,Blaenau Gwent,"51.768015000000005,-3.1917231999999993",60
102,gwent-street.csv,Torfaen,"51.67518255147058,-3.034350669117646",134
103,hampshire-street.csv,Test Valley,"51.14050138360662,-1.4836237278688529",251
104,hampshire-street.csv,Basingstoke and Deane,"51.269337918750026,-1.0995176046874993",582
105,hampshire-street.csv,Havant,"50.85981711627912,-0.9926763895348816",577
106,hampshire-street.csv,Hart,"51.2916466100385,-0.845015305019304",159
107,hampshire-street.csv,Eastleigh,"50.95187590687672,-1.3476481747850997",569
108,hampshire-street.csv,New Forest,"50.83427073071338,-1.5619946171761263",554
109,hampshire-street.csv,East Hampshire,"51.06011496615383,-0.9253416861538463",214
110,hampshire-street.csv,Southampton,"50.91442113767181,-1.404603682102638",3060
111,hampshire-street.csv,Rushmoor,"51.28491369402973,-0.7580593611940311",517
112,hampshire-street.csv,Fareham,"50.85349415982409,-1.2022856568914975",477
113,hampshire-street.csv,Gosport,"50.80164014870395,-1.1503552060027311",733
114,hampshire-street.csv,Isle of Wight,"50.694574750902575,-1.2329085559566784",274
