,Unnamed: 0,file,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,area,area_coor
21968,21968,btp-street.csv,,2016-04,British Transport Police,British Transport Police,-4.40563,55.9076,On or near Singer (Station),,,Bicycle theft,,,Allerdale,
21969,21969,btp-street.csv,,2016-04,British Transport Police,British Transport Police,0.079609,55.868042,On or near Charing Cross (Glasgow) (Station),,,Bicycle theft,,,Scarborough,
21970,21970,btp-street.csv,,2016-04,British Transport Police,British Transport Police,-3.93479,56.12,On or near Stirling (Station),,,Bicycle theft,,,Allerdale,
21971,21971,btp-street.csv,,2016-04,British Transport Police,British Transport Police,-4.256292,55.860705,On or near Glasgow Central (Station),,,Bicycle theft,,,Allerdale,
21972,21972,btp-street.csv,,2016-04,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
33483,33483,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.6051,55.0726,On or near Dumfries (Station),,,Bicycle theft,,,Allerdale,
33484,33484,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-4.31968,55.9205,On or near Hillfoot (Station),,,Bicycle theft,,,Allerdale,
33485,33485,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-4.31435,55.9412,On or near Milngavie (Station),,,Bicycle theft,,,Allerdale,
33486,33486,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
33487,33487,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-4.256292,55.860705,On or near Glasgow Central (Station),,,Bicycle theft,,,Allerdale,
33488,33488,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.21861,55.9454,On or near Haymarket (Station),,,Bicycle theft,,,Carlisle,
33489,33489,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.635924,55.900289,On or near Bathgate (Station),,,Bicycle theft,,,Allerdale,
33490,33490,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-4.256292,55.860705,On or near Glasgow Central (Station),,,Bicycle theft,,,Allerdale,
33491,33491,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
33492,33492,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
33493,33493,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.93479,56.12,On or near Stirling (Station),,,Bicycle theft,,,Allerdale,
33494,33494,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.5430870000000003,55.901784,On or near Livingston North (Station),,,Bicycle theft,,,Carlisle,
33495,33495,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-0.08344700000000001,54.44781700000001,On or near Kensington Olympia (Station),,,Bicycle theft,,,Scarborough,
33496,33496,btp-street.csv,,2016-05,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
38319,38319,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
38320,38320,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-4.17949,55.8552,On or near Carntyne (Station),,,Bicycle theft,,,Allerdale,
38321,38321,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-2.969511,56.457531,On or near Dundee (Station),,,Bicycle theft,,,Carlisle,
38322,38322,btp-street.csv,,2016-06,British Transport Police,British Transport Police,0.876238,51.436453,On or near Ashford (Station),,,Bicycle theft,,,Swale,
38323,38323,btp-street.csv,,2016-06,British Transport Police,British Transport Police,0.876238,51.436453,On or near Ashford (Station),,,Bicycle theft,,,Swale,
38324,38324,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-4.2243,55.9041,On or near Bishopbriggs (Station),,,Bicycle theft,,,Allerdale,
38325,38325,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-4.58648,55.9706,On or near Renton (Station),,,Bicycle theft,,,Allerdale,
38326,38326,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-4.25056,55.8574,On or near Argyle Street (Station),,,Bicycle theft,,,Allerdale,
38327,38327,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-4.25085,55.8624,On or near Glasgow Queen Street (Station),,,Bicycle theft,,,Allerdale,
38328,38328,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-4.42655,55.912,On or near Dalmuir (Station),,,Bicycle theft,,,Allerdale,
38329,38329,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-3.188535,55.952496,On or near Edinburgh Waverley (Station),,,Bicycle theft,,,Carlisle,
38330,38330,btp-street.csv,,2016-06,British Transport Police,British Transport Police,-3.50197,55.9188,On or near Uphall (Station),,,Bicycle theft,,,Carlisle,
45538,45538,btp-street.csv,,2016-07,British Transport Police,British Transport Police,-3.188535,55.952496,On or near Edinburgh Waverley (Station),,,Bicycle theft,,,Carlisle,
45539,45539,btp-street.csv,,2016-07,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
45540,45540,btp-street.csv,,2016-07,British Transport Police,British Transport Police,-3.4397800000000003,56.393853,On or near Perth (Station),,,Bicycle theft,,,Carlisle,
45541,45541,btp-street.csv,,2016-07,British Transport Police,British Transport Police,-4.31435,55.9412,On or near Milngavie (Station),,,Bicycle theft,,,Allerdale,
45542,45542,btp-street.csv,,2016-07,British Transport Police,British Transport Police,-3.59586,55.9763,On or near Linlithgow (Station),,,Bicycle theft,,,Carlisle,
