,Unnamed: 0,file,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,area,area_coor
104789,104789,metropolitan-street.csv,00357a848860b9f44d776e79440a74f108e5e8f51ebd24411e9810b732fb4d3c,2017-02,Metropolitan Police Service,Metropolitan Police Service,-0.010073,51.482044,On or near Greenwich Church Street,E01001640,Greenwich 035A,Bicycle theft,Investigation complete; no suspect identified,,Greenwich,"51.480024695501804,0.035078896193771726"
104787,104787,metropolitan-street.csv,00357a848860b9f44d776e79440a74f108e5e8f51ebd24411e9810b732fb4d3c,2017-02,Metropolitan Police Service,Metropolitan Police Service,-0.010073,51.482044,On or near Greenwich Church Street,E01001640,Greenwich 035A,Bicycle theft,Status update unavailable,,Greenwich,"51.480024695501804,0.035078896193771726"
241190,241190,northern-ireland-street.csv,0039cf64d3190556005848fe28bf5e9efe71a59ac7a09c08e2c6f3422bb799a7,2018-06,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.418865,54.448632,On or near Carn Road,,,Bicycle theft,,,Isle of Anglesey,
134283,134283,northern-ireland-street.csv,0039cf64d3190556005848fe28bf5e9efe71a59ac7a09c08e2c6f3422bb799a7,2017-06,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.950236,55.04301,On or near Roe Mill Gardens,,,Bicycle theft,,,Isle of Anglesey,
36735,36735,metropolitan-street.csv,00465215098f362bf44a5aaed93cda023e766e137959d911f7d8709d0d062c09,2016-06,Metropolitan Police Service,Metropolitan Police Service,-0.102843,51.523931,On or near St John Street,E01002724,Islington 022D,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
36737,36737,metropolitan-street.csv,00465215098f362bf44a5aaed93cda023e766e137959d911f7d8709d0d062c09,2016-06,Metropolitan Police Service,Metropolitan Police Service,-0.102843,51.523931,On or near St John Street,E01002724,Islington 022D,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
34776,34776,gwent-street.csv,005c3939e934f4e724421736b1de6d1f8e6ec5e1fb72f3ff867db425070da61f,2016-05,Gwent Police,Gwent Police,-3.226675,51.581651,On or near Gwyn Drive,W01001370,Caerphilly 023A,Bicycle theft,Status update unavailable,,Caerphilly,"51.638547262295056,-3.205656644808744"
34775,34775,gwent-street.csv,005c3939e934f4e724421736b1de6d1f8e6ec5e1fb72f3ff867db425070da61f,2016-05,Gwent Police,Gwent Police,-3.226675,51.581651,On or near Gwyn Drive,W01001370,Caerphilly 023A,Bicycle theft,Investigation complete; no suspect identified,,Caerphilly,"51.638547262295056,-3.205656644808744"
162681,162681,metropolitan-street.csv,00aa1522281eedbbff9e245f903c480b6da852e41ca2918265bfa47256438a00,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.381199,51.592235,On or near School Lane,E01002192,Harrow 016C,Bicycle theft,Status update unavailable,,Harrow,"51.588270618110265,-0.3391498818897635"
162680,162680,metropolitan-street.csv,00aa1522281eedbbff9e245f903c480b6da852e41ca2918265bfa47256438a00,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.381199,51.592235,On or near School Lane,E01002192,Harrow 016C,Bicycle theft,Investigation complete; no suspect identified,,Harrow,"51.588270618110265,-0.3391498818897635"
149005,149005,metropolitan-street.csv,00b53e6dce28c12a9c7775fcf8a8ceb860c1b438ed9868d8d461dabcaa2ae69b,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.068729,51.521318,On or near Claps Gate Lane,E01003482,Newham 033B,Bicycle theft,Status update unavailable,,Newham,"51.53527558088256,0.02040656066176475"
149007,149007,metropolitan-street.csv,00b53e6dce28c12a9c7775fcf8a8ceb860c1b438ed9868d8d461dabcaa2ae69b,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.068729,51.521318,On or near Claps Gate Lane,E01003482,Newham 033B,Bicycle theft,Investigation complete; no suspect identified,,Newham,"51.53527558088256,0.02040656066176475"
133335,133335,metropolitan-street.csv,00f5025399dcb4d8d23bd02964848c958010d7881d3b9418018c1d4c447e027a,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.186244,51.462384,On or near A217,E01004509,Wandsworth 010A,Bicycle theft,Status update unavailable,,Wandsworth,"51.45324311145323,-0.17973422321428625"
133336,133336,metropolitan-street.csv,00f5025399dcb4d8d23bd02964848c958010d7881d3b9418018c1d4c447e027a,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.186244,51.462384,On or near A217,E01004509,Wandsworth 010A,Bicycle theft,Investigation complete; no suspect identified,,Wandsworth,"51.45324311145323,-0.17973422321428625"
195715,195715,northern-ireland-street.csv,0100d0fcafe7ead7f1ce4cf2e1fed5e859b6d26caab47bf3c9f2b18628167e60,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93264,54.600091000000006,On or near Chapel Lane,,,Bicycle theft,,,Isle of Anglesey,
224008,224008,northern-ireland-street.csv,0100d0fcafe7ead7f1ce4cf2e1fed5e859b6d26caab47bf3c9f2b18628167e60,2018-05,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.385192,54.440837,On or near Drumgor Lane,,,Bicycle theft,,,Isle of Anglesey,
5419,5419,avon-and-somerset-street.csv,01709813bc9cfda200b6ddc49a0acba2fc8bca4de905a9b2b9b04c710eb4b168,2016-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.00996,51.141167,On or near Sports/Recreation Area,E01032632,Sedgemoor 011F,Bicycle theft,Status update unavailable,,Sedgemoor,"51.15245149180329,-2.9908219836065593"
5483,5483,avon-and-somerset-street.csv,01709813bc9cfda200b6ddc49a0acba2fc8bca4de905a9b2b9b04c710eb4b168,2016-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No Location,,,Bicycle theft,Status update unavailable,,,
94264,94264,metropolitan-street.csv,023f3f203ad1135e4f70fee592b44326e482f0ae83098f04b8784179380a476a,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.413716,51.498351,On or near Sutherland Avenue,E01002407,Hillingdon 030A,Bicycle theft,Status update unavailable,,Hillingdon,"51.53006246209372,-0.44298460920577626"
94265,94265,metropolitan-street.csv,023f3f203ad1135e4f70fee592b44326e482f0ae83098f04b8784179380a476a,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.413716,51.498351,On or near Sutherland Avenue,E01002407,Hillingdon 030A,Bicycle theft,Status update unavailable,,Hillingdon,"51.53006246209372,-0.44298460920577626"
