,Unnamed: 0,file,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,area,area_coor
104789,104789,metropolitan-street.csv,00357a848860b9f44d776e79440a74f108e5e8f51ebd24411e9810b732fb4d3c,2017-02,Metropolitan Police Service,Metropolitan Police Service,-0.010073,51.482044,On or near Greenwich Church Street,E01001640,Greenwich 035A,Bicycle theft,Investigation complete; no suspect identified,,Greenwich,"51.480024695501804,0.035078896193771726"
104787,104787,metropolitan-street.csv,00357a848860b9f44d776e79440a74f108e5e8f51ebd24411e9810b732fb4d3c,2017-02,Metropolitan Police Service,Metropolitan Police Service,-0.010073,51.482044,On or near Greenwich Church Street,E01001640,Greenwich 035A,Bicycle theft,Status update unavailable,,Greenwich,"51.480024695501804,0.035078896193771726"
36737,36737,metropolitan-street.csv,00465215098f362bf44a5aaed93cda023e766e137959d911f7d8709d0d062c09,2016-06,Metropolitan Police Service,Metropolitan Police Service,-0.102843,51.523931,On or near St John Street,E01002724,Islington 022D,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
36735,36735,metropolitan-street.csv,00465215098f362bf44a5aaed93cda023e766e137959d911f7d8709d0d062c09,2016-06,Metropolitan Police Service,Metropolitan Police Service,-0.102843,51.523931,On or near St John Street,E01002724,Islington 022D,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
34775,34775,gwent-street.csv,005c3939e934f4e724421736b1de6d1f8e6ec5e1fb72f3ff867db425070da61f,2016-05,Gwent Police,Gwent Police,-3.226675,51.581651,On or near Gwyn Drive,W01001370,Caerphilly 023A,Bicycle theft,Investigation complete; no suspect identified,,Caerphilly,"51.638547262295056,-3.205656644808744"
34776,34776,gwent-street.csv,005c3939e934f4e724421736b1de6d1f8e6ec5e1fb72f3ff867db425070da61f,2016-05,Gwent Police,Gwent Police,-3.226675,51.581651,On or near Gwyn Drive,W01001370,Caerphilly 023A,Bicycle theft,Status update unavailable,,Caerphilly,"51.638547262295056,-3.205656644808744"
162681,162681,metropolitan-street.csv,00aa1522281eedbbff9e245f903c480b6da852e41ca2918265bfa47256438a00,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.381199,51.592235,On or near School Lane,E01002192,Harrow 016C,Bicycle theft,Status update unavailable,,Harrow,"51.588270618110265,-0.3391498818897635"
162680,162680,metropolitan-street.csv,00aa1522281eedbbff9e245f903c480b6da852e41ca2918265bfa47256438a00,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.381199,51.592235,On or near School Lane,E01002192,Harrow 016C,Bicycle theft,Investigation complete; no suspect identified,,Harrow,"51.588270618110265,-0.3391498818897635"
149005,149005,metropolitan-street.csv,00b53e6dce28c12a9c7775fcf8a8ceb860c1b438ed9868d8d461dabcaa2ae69b,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.068729,51.521318,On or near Claps Gate Lane,E01003482,Newham 033B,Bicycle theft,Status update unavailable,,Newham,"51.53527558088256,0.02040656066176475"
149007,149007,metropolitan-street.csv,00b53e6dce28c12a9c7775fcf8a8ceb860c1b438ed9868d8d461dabcaa2ae69b,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.068729,51.521318,On or near Claps Gate Lane,E01003482,Newham 033B,Bicycle theft,Investigation complete; no suspect identified,,Newham,"51.53527558088256,0.02040656066176475"
133335,133335,metropolitan-street.csv,00f5025399dcb4d8d23bd02964848c958010d7881d3b9418018c1d4c447e027a,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.186244,51.462384,On or near A217,E01004509,Wandsworth 010A,Bicycle theft,Status update unavailable,,Wandsworth,"51.45324311145323,-0.17973422321428625"
133336,133336,metropolitan-street.csv,00f5025399dcb4d8d23bd02964848c958010d7881d3b9418018c1d4c447e027a,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.186244,51.462384,On or near A217,E01004509,Wandsworth 010A,Bicycle theft,Investigation complete; no suspect identified,,Wandsworth,"51.45324311145323,-0.17973422321428625"
94265,94265,metropolitan-street.csv,023f3f203ad1135e4f70fee592b44326e482f0ae83098f04b8784179380a476a,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.413716,51.498351,On or near Sutherland Avenue,E01002407,Hillingdon 030A,Bicycle theft,Status update unavailable,,Hillingdon,"51.53006246209372,-0.44298460920577626"
94264,94264,metropolitan-street.csv,023f3f203ad1135e4f70fee592b44326e482f0ae83098f04b8784179380a476a,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.413716,51.498351,On or near Sutherland Avenue,E01002407,Hillingdon 030A,Bicycle theft,Status update unavailable,,Hillingdon,"51.53006246209372,-0.44298460920577626"
18881,18881,metropolitan-street.csv,039ce2054b8e87737043622731ed96b57e1f403befa6aba9a71090b8c24a780e,2016-03,Metropolitan Police Service,Metropolitan Police Service,0.049636,51.432166,On or near Haven Close,E01000780,Bromley 001B,Bicycle theft,Status update unavailable,,Bromley,"51.39883203699156,0.01608292971639949"
18882,18882,metropolitan-street.csv,039ce2054b8e87737043622731ed96b57e1f403befa6aba9a71090b8c24a780e,2016-03,Metropolitan Police Service,Metropolitan Police Service,0.049636,51.432166,On or near Haven Close,E01000780,Bromley 001B,Bicycle theft,Status update unavailable,,Bromley,"51.39883203699156,0.01608292971639949"
19987,19987,metropolitan-street.csv,03b9bc6e5fbb9e7ac2d14e0b106c57a4e5af54144263aace2870dc67c867f7ab,2016-03,Metropolitan Police Service,Metropolitan Police Service,,,No Location,,,Bicycle theft,Investigation complete; no suspect identified,,,
19971,19971,metropolitan-street.csv,03b9bc6e5fbb9e7ac2d14e0b106c57a4e5af54144263aace2870dc67c867f7ab,2016-03,Metropolitan Police Service,Metropolitan Police Service,,,No Location,,,Bicycle theft,Status update unavailable,,,
132503,132503,metropolitan-street.csv,03c45bf7a74340eb611dac9fa6de81323e1565c7491b8464ebc1f89641e87534,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.113735,51.559303,On or near Kinloch Street,E01002730,Islington 007A,Bicycle theft,Investigation complete; no suspect identified,,Islington,"51.54171541440087,-0.10633173438900535"
132502,132502,metropolitan-street.csv,03c45bf7a74340eb611dac9fa6de81323e1565c7491b8464ebc1f89641e87534,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.113735,51.559303,On or near Kinloch Street,E01002730,Islington 007A,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
